numero,nombre,edad,teamTo,teamFrom,leagueTo,leagueFrom,totalCost, year,
153,Ivan Perisic,22,Bor. Dortmund,Club Brugge,1.Bundesliga,Jupiler Pro League,5.50.,2011,
154,Leroy Fer,21,FC Twente,Feyenoord,Eredivisie,Eredivisie,5.50.,2011,
155,Maxi Moralez,24,Atalanta,CA Velez,Serie A,Torneo Final,5.30.,2011,
156,Edgar Barreto,27,US Palermo,Atalanta,Serie A,Serie A,5.30.,2011,
157,Matthew Mills,24,Leicester,Reading,Championship,Championship,5.30.,2011,
158,Adrian Mierzejewski,24,Trabzonspor,Pol. Warsaw,Super Lig,Ekstraklasa,5.25.,2011,
159,Federico Marchetti,28,Lazio,Cagliari Calcio,Serie A,Serie A,5.20.,2011,
160,Shane Long,24,West Brom,Reading,Premier League,Championship,5.10.,2011,
161,Ricky van Wolfswinkel,22,Sporting CP,FC Utrecht,Liga NOS,Eredivisie,5.08.,2011,
162,Alex,29,Paris SG,Chelsea,Ligue 1,Premier League,5.00.,2011,
163,Alou Diarra,29,Marseille,G. Bordeaux,Ligue 1,Ligue 1,5.00.,2011,
164,Yohan Cabaye,25,Newcastle,LOSC Lille,Premier League,Ligue 1,5.00.,2011,
165,Diego Forlan,32,Inter,Atletico Madrid,Serie A,LaLiga,5.00.,2011,
166,Didier Zokora,30,Trabzonspor,Sevilla FC,Super Lig,LaLiga,5.00.,2011,
167,Mehmet Ekici,21,Werder Bremen,Bayern Munich,1.Bundesliga,1.Bundesliga,5.00.,2011,
168,Jose Callejon,24,Real Madrid,Espanyol,LaLiga,LaLiga,5.00.,2011,
169,Georginio Wijnaldum,20,PSV Eindhoven,Feyenoord,Eredivisie,Eredivisie,5.00.,2011,
170,Djibril Cisse,30,QPR,Lazio,Premier League,Serie A,5.00.,2011,
171,Ikechukwu Uche,27,Villarreal CF,Real Zaragoza,LaLiga,LaLiga,5.00.,2011,
172,Ahmed Musa,19,CSKA Moscow,VVV-Venlo,Russia,Eredivisie,5.00.,2011,
173,Ruben Micael,24,Atletico Madrid,FC Porto,LaLiga,Liga NOS,5.00.,2011,
174,Jonathan,25,Inter,Santos FC,Serie A,Serie A,5.00.,2011,
175,Gabriel Torje,21,Udinese Calcio,Dinamo Bukarest,Serie A,Liga 1,5.00.,2011,
176,Eder,24,AC Cesena,Brescia,Serie A,Serie B,5.00.,2011,
177,Ibson,27,Santos FC,Spartak Moscow,Serie A,Premier Liga,5.00.,2011,
178,Simone Padoin,27,Juventus,Atalanta,Serie A,Serie A,5.00.,2011,
179,Sergey Davydov,26,Rubin Kazan,Kuban Krasnodar,Russia,Russia,5.00.,2011,
180,Nemanja Matic,22,Benfica,Chelsea,Liga NOS,Premier League,5.00.,2011,
181,Dudu,19,Dynamo Kyiv,Cruzeiro,Premier Liga,Serie A,5.00.,2011,
182,Derek Boateng,28,Dnipro,Getafe CF,Premier Liga,LaLiga,4.88.,2011,
183,Alessandro Diamanti,28,Bologna,Brescia,Serie A,Serie B,4.86.,2011,
184,Alexander Gerndt,25,FC Utrecht,Helsingborg,Eredivisie,Allsvenskan,4.80.,2011,
185,Serdar Kesimal,22,Fenerbahce,Kayserispor,Super Lig,Super Lig,4.75.,2011,
186,Nedum Onuoha,25,QPR,Man City,Premier League,Premier League,4.70.,2011,
187,Jean Beausejour,27,Wigan,Birmingham,Premier League,Championship,4.70.,2011,
188,Oriol Romeu,19,Chelsea,FC Barcelona B,Premier League,LaLiga2,4.60.,2011,
189,Yuto Nagatomo,24,Inter,AC Cesena,Serie A,Serie A,4.50.,2011,
190,Shaun Wright-Phillips,29,QPR,Man City,Premier League,Premier League,4.50.,2011,
191,Alan Hutton,26,Aston Villa,Spurs,Premier League,Premier League,4.50.,2011,
192,Achille Emana,29,Hilal,Real Betis,Professional League,LaLiga,4.50.,2011,
193,John O'Shea,30,Sunderland,Man Utd,Premier League,Premier League,4.50.,2011,
194,Jaja Coelho,25,Al-Ahli (UAE),Trabzonspor,United Arab Emirates,Super Lig,4.50.,2011,
195,Vedad Ibisevic,27,VfB Stuttgart,TSG Hoffenheim,1.Bundesliga,1.Bundesliga,4.50.,2011,
196,Andrea Lazzari,26,Fiorentina,Cagliari Calcio,Serie A,Serie A,4.50.,2011,
197,Manu del Moral,27,Sevilla FC,Getafe CF,LaLiga,LaLiga,4.50.,2011,
198,David N'Gog,22,Bolton,Liverpool,Premier League,Premier League,4.50.,2011,
199,Cameron Jerome,25,Stoke City,Birmingham,Premier League,Championship,4.50.,2011,
200,Kevin Strootman,21,PSV Eindhoven,FC Utrecht,Eredivisie,Eredivisie,4.50.,2011,
201,Pape Diakhate,27,Granada CF,Dynamo Kyiv,LaLiga,Premier Liga,4.50.,2011,
202,Jonathan Legear,24,Akhmat Grozny,RSC Anderlecht,Premier Liga,Jupiler Pro League,4.50.,2011,
203,Ze Eduardo,23,Genoa,Santos FC,Serie A,Serie A,4.50.,2011,
204,Jose Angel,21,AS Roma,Sporting Gijon,Serie A,LaLiga,4.50.,2011,
205,Nacer Barazite,21,Monaco,Austria Vienna,Ligue 2,Bundesliga,4.50.,2011,
206,Diego Buonanotte,23,Malaga CF,River Plate,LaLiga,Primera B Nacional,4.50.,2011,
207,Franco Vazquez,22,US Palermo,Belgrano,Serie A,Torneo Final,4.50.,2011,
208,Ali Al-Habsi,29,Wigan,Bolton,Premier League,Premier League,4.30.,2011,
209,Joaquin,29,Malaga CF,Valencia CF,LaLiga,LaLiga,4.20.,2011,
210,Mirel Radoi,30,Al-Ain FC,Hilal,United Arab Emirates,Professional League,4.20.,2011,
211,Emiliano Viviano,25,Inter,Bologna,Serie A,Serie A,4.10.,2011,
212,Vieirinha,25,VfL Wolfsburg,PAOK Saloniki,1.Bundesliga,Super League,4.00.,2011,
213,Jadson,28,Sao Paulo,Shakhtar D.,Serie A,Premier Liga,4.00.,2011,
214,Abdoulay Konko,27,Lazio,Genoa,Serie A,Serie A,4.00.,2011,
215,Julien Feret,29,Stade Rennais,AS Nancy,Ligue 1,Ligue 1,4.00.,2011,
216,Nelson Valdez,27,Rubin Kazan,Hercules CF,Premier Liga,LaLiga2,4.00.,2011,
217,Ivo Ilicevic,24,Hamburger SV,1.FC K'lautern,1.Bundesliga,1.Bundesliga,4.00.,2011,
218,Sokratis,23,Genoa,AC Milan,Serie A,Serie A,4.00.,2011,
219,Mustafa Pektemek,22,Besiktas,Genclerbirligi,Super Lig,Super Lig,4.00.,2011,
220,Vladimir Gabulov,27,Anzhi,Dinamo Moscow,Premier Liga,Premier Liga,4.00.,2011,
221,Kolbeinn Sigthorsson,21,AFC Ajax,AZ Alkmaar,Eredivisie,Eredivisie,4.00.,2011,
222,Marlos,23,Metalist,Rentistas,Premier Liga,Primera Division,4.00.,2011,
223,Henri Bienvenu,23,Fenerbahce,BSC Young Boys,Super Lig,Super League,4.00.,2011,
224,Gabriel Silva,20,Granada CF,Palmeiras,LaLiga,Serie A,4.00.,2011,
225,Santiago Garcia,20,Atletico-PR,Nacional,Serie A,Primera Division,4.00.,2011,
226,Alan Patrick,20,Shakhtar D.,Santos FC,Premier Liga,Serie A,4.00.,2011,
227,Marco Rossi,23,AC Cesena,Parma,Serie A,Serie A,4.00.,2011,
228,Salvatore Sirigu,24,Paris SG,US Palermo,Ligue 1,Serie A,3.90.,2011,
229,Danny Graham,25,Swansea,Watford,Premier League,Championship,3.90.,2011,
230,Ryan Bennett,21,Norwich,Peterborough,Premier League,Championship,3.85.,2011,
231,Umut Bulut,28,Toulouse,Trabzonspor,Ligue 1,Super Lig,3.80.,2011,
232,Christian Fuchs,25,FC Schalke 04,1.FSV Mainz 05,1.Bundesliga,1.Bundesliga,3.80.,2011,
233,Juan Jesus,20,Inter,Internacional,Serie A,Serie A,3.80.,2011,
234,Fabio Rochemback,30,DL Yifang,Gremio,Super League,Serie A,3.79.,2011,
235,Robbie Keane,31,Los Angeles,Spurs,MLS,Premier League,3.75.,2011,
236,Shay Given,35,Aston Villa,Man City,Premier League,Premier League,3.75.,2011,
237,Jeffren,23,Sporting CP,FC Barcelona,Liga NOS,LaLiga,3.75.,2011,
238,Jamie O'Hara,24,Wolves,Spurs,Premier League,Premier League,3.75.,2011,
239,Marco Motta,25,Juventus,Udinese Calcio,Serie A,Serie A,3.75.,2011,
240,Paulo Henrique,22,Trabzonspor,Desp. Brasil,Super Lig,Brazil,3.75.,2011,
241,Volkan Sen,24,Trabzonspor,Bursaspor,Super Lig,Super Lig,3.60.,2011,
242,Marvin Sordell,20,Bolton,Watford,Premier League,Championship,3.60.,2011,
243,Kleber,21,FC Porto,Atletico-MG,Liga NOS,Serie A,3.56.,2011,
244,Jose Antonio Reyes,28,Sevilla FC,Atletico Madrid,LaLiga,LaLiga,3.50.,2011,
245,Diego Capel,23,Sporting CP,Sevilla FC,Liga NOS,LaLiga,3.50.,2011,
246,Maxwell,30,Paris SG,FC Barcelona,Ligue 1,LaLiga,3.50.,2011,
247,Barreto,25,Udinese Calcio,Bari,Serie A,Serie B,3.50.,2011,
248,Emmanuel Eboue,28,Galatasaray,Arsenal,Super Lig,Premier League,3.50.,2011,
249,Nicolas N'Koulou,21,Marseille,Monaco,Ligue 1,Ligue 2,3.50.,2011,
250,Jonathan Pitroipa,25,Stade Rennais,Hamburger SV,Ligue 1,1.Bundesliga,3.50.,2011,
1,Thiago Silva,27,Paris SG,AC Milan,Ligue 1,Serie A,42.00.,2012,
2,Hulk,26,Zenit S-Pb,FC Porto,Premier Liga,Liga NOS,40.00.,2012,
3,Lucas,20,Paris SG,Sao Paulo,Ligue 1,Serie A,40.00.,2012,
4,Javi Martinez,24,Bayern Munich,Athletic Bilbao,1.Bundesliga,LaLiga,40.00.,2012,
5,Axel Witsel,23,Zenit S-Pb,Benfica,Premier Liga,Liga NOS,40.00.,2012,
6,Eden Hazard,21,Chelsea,LOSC Lille,Premier League,Ligue 1,35.00.,2012,
7,Willian,24,Anzhi,Shakhtar D.,Premier Liga,Premier Liga,35.00.,2012,
8,Oscar,20,Chelsea,Internacional,Premier League,Serie A,32.00.,2012,
9,Robin van Persie,29,Man Utd,Arsenal,Premier League,Premier League,30.70.,2012,
10,Luka Modric,26,Real Madrid,Spurs,LaLiga,Premier League,30.00.,2012,
11,Ezequiel Lavezzi,27,Paris SG,SSC Napoli,Ligue 1,Serie A,28.95.,2012,
12,Zlatan Ibrahimovic,30,Paris SG,AC Milan,Ligue 1,Serie A,21.00.,2012,
13,Javi Garcia,25,Man City,Benfica,Premier League,Liga NOS,20.20.,2012,
14,Mario Balotelli,22,AC Milan,Man City,Serie A,Premier League,20.00.,2012,
15,Alex Song,24,FC Barcelona,Arsenal,LaLiga,Premier League,19.00.,2012,
16,Santi Cazorla,27,Arsenal,Malaga CF,Premier League,LaLiga,19.00.,2012,
17,Mousa Dembele,25,Spurs,Fulham,Premier League,Premier League,19.00.,2012,
18,Joe Allen,22,Liverpool,Swansea,Premier League,Premier League,19.00.,2012,
19,Kwadwo Asamoah,23,Juventus,Udinese Calcio,Serie A,Serie A,18.00.,2012,
20,Lacina Traore,22,Anzhi,Kuban Krasnodar,Premier Liga,Premier Liga,18.00.,2012,
21,Marco Reus,23,Bor. Dortmund,Bor. M'gladbach,1.Bundesliga,1.Bundesliga,17.10.,2012,
22,Shinji Kagawa,23,Man Utd,Bor. Dortmund,Premier League,1.Bundesliga,16.00.,2012,
23,Taison,25,Shakhtar D.,Metalist,Premier Liga,Premier Liga,15.24.,2012,
24,Gaston Ramirez,21,Southampton,Bologna,Premier League,Serie A,15.20.,2012,
25,Steven Fletcher,25,Sunderland,Wolves,Premier League,Championship,15.20.,2012,
26,Matija Nastasic,19,Man City,Fiorentina,Premier League,Serie A,15.20.,2012,
27,Alexandre Pato,23,Corinthians,AC Milan,Serie A,Serie A,15.00.,2012,
28,Lukas Podolski,27,Arsenal,1. FC Koln,Premier League,2.Bundesliga,15.00.,2012,
29,Daniel Sturridge,23,Liverpool,Chelsea,Premier League,Premier League,15.00.,2012,
30,Christopher Samba,28,QPR,Anzhi,Premier League,Premier Liga,15.00.,2012,
31,Jack Rodwell,21,Man City,Everton,Premier League,Premier League,15.00.,2012,
32,Samir Handanovic,28,Inter,Udinese Calcio,Serie A,Serie A,15.00.,2012,
33,Jordi Alba,23,FC Barcelona,Valencia CF,LaLiga,LaLiga,14.00.,2012,
34,Carlos Vela,23,Real Sociedad,Arsenal,LaLiga,Premier League,14.00.,2012,
35,Mauricio Isla,24,Juventus,Udinese Calcio,Serie A,Serie A,13.90.,2012,
36,Fabio Borini,21,Liverpool,AS Roma,Premier League,Serie A,13.30.,2012,
37,Rafael van der Vaart,29,Hamburger SV,Spurs,1.Bundesliga,Premier League,13.00.,2012,
38,Mario Mandzukic,26,Bayern Munich,VfL Wolfsburg,1.Bundesliga,1.Bundesliga,13.00.,2012,
39,Lucas Ocampos,18,Monaco,River Plate,Ligue 2,Torneo Final,13.00.,2012,
40,Philippe Coutinho,20,Liverpool,Inter,Premier League,Serie A,13.00.,2012,
41,Hugo Lloris,25,Spurs,Olympique Lyon,Premier League,Ligue 1,12.60.,2012,
42,Adam Johnson,25,Sunderland,Man City,Premier League,Premier League,12.60.,2012,
43,Jan Vertonghen,25,Spurs,AFC Ajax,Premier League,Eredivisie,12.50.,2012,
44,Giampaolo Pazzini,28,AC Milan,Inter,Serie A,Serie A,12.50.,2012,
45,Yann M'Vila,22,Rubin Kazan,Stade Rennais,Premier Liga,Ligue 1,12.00.,2012,
46,Olivier Giroud,25,Arsenal,Montpellier,Premier League,Ligue 1,12.00.,2012,
47,Luuk de Jong,21,Bor. M'gladbach,FC Twente,1.Bundesliga,Eredivisie,12.00.,2012,
48,Marco Verratti,19,Paris SG,Pescara,Ligue 1,Serie A,12.00.,2012,
49,Ola John,20,Benfica,FC Twente,Liga NOS,Eredivisie,12.00.,2012,
50,Paulo Dybala,18,US Palermo,Instituto,Serie A,Primera B Nacional,11.90.,2012,
51,Xherdan Shaqiri,20,Bayern Munich,FC Basel,1.Bundesliga,Super League,11.80.,2012,
52,Wilfried Zaha,20,Man Utd,Crystal Palace,Premier League,Championship,11.75.,2012,
53,Mattia Destro,21,AS Roma,Genoa,Serie A,Serie A,11.50.,2012,
54,Victor Moses,21,Chelsea,Wigan,Premier League,Premier League,11.50.,2012,
55,Sebastian Giovinco,25,Juventus,Parma,Serie A,Serie A,11.00.,2012,
56,Fredy Guarin,26,Inter,FC Porto,Serie A,Liga NOS,11.00.,2012,
57,Eduardo Salvio,22,Benfica,Atletico Madrid,Liga NOS,LaLiga,11.00.,2012,
58,Manolo Gabbiadini,20,Juventus,Atalanta,Serie A,Serie A,11.00.,2012,
59,Mateo Kovacic,18,Inter,Dinamo Zagreb,Serie A,1.HNL,11.00.,2012,
60,Loic Remy,26,QPR,Marseille,Premier League,Ligue 1,10.50.,2012,
61,Rodrigo Palacio,30,Inter,Genoa,Serie A,Serie A,10.50.,2012,
62,Mario Fernandes,21,CSKA Moscow,Gremio,Premier Liga,Serie A,10.50.,2012,
63,Jordan Rhodes,22,Blackburn,Huddersfield,Championship,Championship,10.10.,2012,
64,Alvaro Pereira,26,Inter,FC Porto,Serie A,Liga NOS,10.00.,2012,
65,Raul Meireles,29,Fenerbahce,Chelsea,Super Lig,Premier League,10.00.,2012,
66,Nilmar,28,Al-Rayyan,Villarreal CF,Stars League,LaLiga2,10.00.,2012,
67,Giuseppe Rossi,25,Fiorentina,Villarreal CF,Serie A,LaLiga2,10.00.,2012,
68,Marvin Martin,24,LOSC Lille,FC Sochaux,Ligue 1,Ligue 1,10.00.,2012,
69,Gylfi Sigurdsson,22,Spurs,TSG Hoffenheim,Premier League,1.Bundesliga,10.00.,2012,
70,Nacho Monreal,26,Arsenal,Malaga CF,Premier League,LaLiga,10.00.,2012,
71,Matt Jarvis,26,West Ham,Wolves,Premier League,Championship,9.50.,2012,
72,Ganso,22,Sao Paulo,Santos FC,Serie A,Serie A,9.10.,2012,
73,Raffael,27,Dynamo Kyiv,Hertha BSC,Premier Liga,2.Bundesliga,9.00.,2012,
74,Jose Salomon Rondon,22,Rubin Kazan,Malaga CF,Premier Liga,LaLiga,9.00.,2012,
75,Jackson Martinez,25,FC Porto,Chiapas FC,Liga NOS,Liga MX Clausura,8.89.,2012,
76,Cesar Azpilicueta,23,Chelsea,Marseille,Premier League,Ligue 1,8.80.,2012,
77,Christian Benteke,21,Aston Villa,KRC Genk,Premier League,Jupiler Pro League,8.80.,2012,
78,Jay Rodriguez,22,Southampton,Burnley,Premier League,Championship,8.65.,2012,
79,Nordin Amrabat,25,Galatasaray,Kayserispor,Super Lig,Super Lig,8.60.,2012,
80,Demba Ba,27,Chelsea,Newcastle,Premier League,Premier League,8.50.,2012,
81,Lucas Barrios,27,GZ Evergrande,Bor. Dortmund,Super League,1.Bundesliga,8.50.,2012,
82,Granit Xhaka,19,Bor. M'gladbach,FC Basel,1.Bundesliga,Super League,8.50.,2012,
83,Vurnon Anita,23,Newcastle,AFC Ajax,Premier League,Eredivisie,8.50.,2012,
84,Diego Souza,27,Ittihad,Vasco da Gama,Professional League,Serie A,8.20.,2012,
85,Marko Marin,23,Chelsea,Werder Bremen,Premier League,1.Bundesliga,8.00.,2012,
86,Martin Caceres,25,Juventus,Sevilla FC,Serie A,LaLiga,8.00.,2012,
87,Mapou Yanga-Mbiwa,23,Newcastle,Montpellier,Premier League,Ligue 1,8.00.,2012,
88,Alvaro Dominguez,23,Bor. M'gladbach,Atletico Madrid,1.Bundesliga,LaLiga,8.00.,2012,
89,Valon Behrami,27,SSC Napoli,Fiorentina,Serie A,Serie A,8.00.,2012,
90,Esteban Granero,25,QPR,Real Madrid,Premier League,LaLiga,8.00.,2012,
91,Ivan Perisic,23,VfL Wolfsburg,Bor. Dortmund,1.Bundesliga,1.Bundesliga,8.00.,2012,
92,Aleksandr Samedov,27,Loko Moscow,Dinamo Moscow,Premier Liga,Premier Liga,8.00.,2012,
93,Kevin Constant,25,AC Milan,Genoa,Serie A,Serie A,8.00.,2012,
94,Marco Ruben,25,Dynamo Kyiv,Villarreal CF,Premier Liga,LaLiga2,8.00.,2012,
95,Davide Faraoni,20,Udinese Calcio,Inter,Serie A,Serie A,8.00.,2012,
96,Romulo,21,Spartak Moscow,Vasco da Gama,Premier Liga,Serie A,8.00.,2012,
97,Scott Sinclair,23,Man City,Swansea,Premier League,Premier League,7.80.,2012,
98,Kevin Mirallas,24,Everton,Olympiacos,Premier League,Super League,7.65.,2012,
99,Wesley Sneijder,28,Galatasaray,Inter,Super Lig,Serie A,7.50.,2012,
100,Clint Dempsey,29,Spurs,Fulham,Premier League,Premier League,7.50.,2012,
101,Asamoah Gyan,26,Al-Ain FC,Sunderland,UAE Gulf League,Premier League,7.50.,2012,
102,Goran Pandev,28,SSC Napoli,Inter,Serie A,Serie A,7.50.,2012,
103,Miguel Veloso,26,Dynamo Kyiv,Genoa,Premier Liga,Serie A,7.50.,2012,
104,Sergio Canales,21,Valencia CF,Real Madrid,LaLiga,LaLiga,7.50.,2012,
105,Yura Movsisyan,25,Spartak Moscow,Krasnodar,Premier Liga,Premier Liga,7.50.,2012,
106,Nick Powell,18,Man Utd,Crewe Alexandra,Premier League,League One,7.50.,2012,
107,Borja Valero,27,Fiorentina,Villarreal CF,Serie A,LaLiga2,7.00.,2012,
108,Milos Krasic,27,Fenerbahce,Juventus,Super Lig,Serie A,7.00.,2012,
109,Mattia Destro,21,Genoa,Siena,Serie A,Serie A,7.00.,2012,
110,Pablo Hernandez,27,Swansea,Valencia CF,Premier League,LaLiga,7.00.,2012,
111,Bas Dost,23,VfL Wolfsburg,Heerenveen,1.Bundesliga,Eredivisie,7.00.,2012,
112,Niko Kranjcar,27,Dynamo Kyiv,Spurs,Premier Liga,Premier League,7.00.,2012,
113,Philipp Wollscheid,23,Bay. Leverkusen,1.FC Nuremberg,1.Bundesliga,1.Bundesliga,7.00.,2012,
114,Vedran Corluka,26,Loko Moscow,Spurs,Premier Liga,Premier League,7.00.,2012,
115,Sung-Yong Ki,23,Swansea,Celtic,Premier League,Premiership,7.00.,2012,
116,Alessio Cerci,25,Torino,Fiorentina,Serie A,Serie A,6.75.,2012,
117,Renato Augusto,24,Corinthians,Bay. Leverkusen,Serie A,1.Bundesliga,6.70.,2012,
118,Luis Neto,24,Zenit S-Pb,Siena,Premier Liga,Serie A,6.50.,2012,
119,Alberto Paloschi,23,Chievo Verona,AC Milan,Serie A,Serie A,6.50.,2012,
120,Emmanuel Adebayor,28,Spurs,Man City,Premier League,Premier League,6.40.,2012,
121,Mathieu Debuchy,27,Newcastle,LOSC Lille,Premier League,Ligue 1,6.20.,2012,
122,Charlie Adam,26,Stoke City,Liverpool,Premier League,Premier League,6.20.,2012,
123,Gregory van der Wiel,24,Paris SG,AFC Ajax,Ligue 1,Eredivisie,6.00.,2012,
124,Stephane Mbia,26,QPR,Marseille,Premier League,Ligue 1,6.00.,2012,
125,Rasmus Elm,24,CSKA Moscow,AZ Alkmaar,Premier Liga,Eredivisie,6.00.,2012,
126,Aly Cissokho,24,Valencia CF,Olympique Lyon,LaLiga,Ligue 1,6.00.,2012,
127,Vagner Love,28,CSKA Moscow,Flamengo,Premier Liga,Serie A,6.00.,2012,
128,Ivan Ramis,27,Wigan,RCD Mallorca,Premier League,LaLiga,6.00.,2012,
129,Walter Montillo,28,Santos FC,Cruzeiro,Serie A,Serie A,6.00.,2012,
130,Modibo Maiga,24,West Ham,FC Sochaux,Premier League,Ligue 1,6.00.,2012,
131,Luc Castaignos,19,FC Twente,Inter,Eredivisie,Serie A,6.00.,2012,
132,Alex,30,Al-Gharafa,Corinthians,Stars League,Serie A,6.00.,2012,
133,Joselu,22,TSG Hoffenheim,RM Castilla,1.Bundesliga,LaLiga2,6.00.,2012,
134,Danny Graham,27,Sunderland,Swansea,Premier League,Premier League,5.80.,2012,
135,Andre,21,Atletico-MG,Dynamo Kyiv,Serie A,Premier Liga,5.80.,2012,
136,Steven Pienaar,30,Everton,Spurs,Premier League,Premier League,5.75.,2012,
137,Elkeson,23,GZ Evergrande,Botafogo,Super League,Serie A,5.70.,2012,
138,Marquinhos,18,AS Roma,Corinthians,Serie A,Serie A,5.70.,2012,
139,Julian Schieber,23,Bor. Dortmund,VfB Stuttgart,1.Bundesliga,1.Bundesliga,5.50.,2012,
140,Eren Derdiyok,24,TSG Hoffenheim,Bay. Leverkusen,1.Bundesliga,1.Bundesliga,5.50.,2012,
141,Dusan Tadic,23,FC Twente,FC Groningen,Eredivisie,Eredivisie,5.50.,2012,
142,Eljero Elia,25,Werder Bremen,Juventus,1.Bundesliga,Serie A,5.50.,2012,
143,Angelo Henriquez,18,Man Utd,U. de Chile,Premier League,Primera Division,5.50.,2012,
144,Ewerton,23,Anzhi,Coimbra-MG,Premier Liga,Brazil,5.40.,2012,
145,Wallace Oliveira,18,Chelsea,Fluminense,Premier League,Serie A,5.40.,2012,
146,Ezequiel Schelotto,23,Inter,Atalanta,Serie A,Serie A,5.30.,2012,
147,Maicosuel,26,Udinese Calcio,Botafogo,Serie A,Serie A,5.30.,2012,
148,Diego Tardelli,27,Atletico-MG,Al-Gharafa,Serie A,Stars League,5.25.,2012,
149,Marko Livaja,19,Atalanta,Inter,Serie A,Serie A,5.05.,2012,
150,Burak Yilmaz,27,Galatasaray,Trabzonspor,Super Lig,Super Lig,5.00.,2012,
151,Nuri Sahin,23,Liverpool,Real Madrid,Premier League,LaLiga,5.00.,2012,
152,Dimitar Berbatov,31,Fulham,Man Utd,Premier League,Premier League,5.00.,2012,
153,Antonio Cassano,30,Inter,AC Milan,Serie A,Serie A,5.00.,2012,
154,Bruno Cesar,24,Ahli,Benfica,Professional League,Liga NOS,5.00.,2012,
155,Lassana Diarra,27,Anzhi,Real Madrid,Premier Liga,LaLiga,5.00.,2012,
156,Dede,24,Cruzeiro,Vasco da Gama,Serie A,Serie A,5.00.,2012,
157,Paulinho,24,Corinthians,Coimbra-MG,Serie A,Brazil,5.00.,2012,
158,Marko Devic,28,Shakhtar D.,Metalist,Premier Liga,Premier Liga,5.00.,2012,
159,Youssef El Arabi,25,Granada CF,Hilal,LaLiga,Professional League,5.00.,2012,
160,German Denis,30,Atalanta,Udinese Calcio,Serie A,Serie A,5.00.,2012,
161,Alain Traore,23,FC Lorient,AJ Auxerre,Ligue 1,Ligue 2,5.00.,2012,
162,Ben Foster,29,West Brom,Birmingham,Premier League,Championship,5.00.,2012,
163,Daniel Congre,27,Montpellier,Toulouse,Ligue 1,Ligue 1,5.00.,2012,
164,Dame N'Doye,27,Loko Moscow,FC Copenhagen,Premier Liga,Superligaen,5.00.,2012,
165,Domagoj Vida,23,Dynamo Kyiv,Dinamo Zagreb,Premier Liga,1.HNL,5.00.,2012,
166,Ivan Marcano,25,Rubin Kazan,Villarreal CF,Premier Liga,LaLiga2,5.00.,2012,
167,Alexander Buttner,23,Man Utd,Vitesse,Premier League,Eredivisie,5.00.,2012,
168,Leandro Castan,25,AS Roma,Corinthians,Serie A,Serie A,5.00.,2012,
169,Daniel Carvajal,20,Bay. Leverkusen,RM Castilla,1.Bundesliga,LaLiga2,5.00.,2012,
170,Naldo,29,VfL Wolfsburg,Werder Bremen,1.Bundesliga,1.Bundesliga,4.80.,2012,
171,Dante,28,Bayern Munich,Bor. M'gladbach,1.Bundesliga,1.Bundesliga,4.70.,2012,
172,Alfred N'Diaye,22,Sunderland,Bursaspor,Premier League,Super Lig,4.70.,2012,
173,Junior Fernandes,24,Bay. Leverkusen,U. de Chile,1.Bundesliga,Primera Division,4.70.,2012,
174,Salvatore Bocchetti,26,Spartak Moscow,Rubin Kazan,Premier Liga,Premier Liga,4.50.,2012,
175,Federico Balzaretti,30,AS Roma,US Palermo,Serie A,Serie A,4.50.,2012,
176,Jonathan Biabiany,24,Parma,Sampdoria,Serie A,Serie A,4.50.,2012,
177,Mehmet Topal,26,Fenerbahce,Valencia CF,Super Lig,LaLiga,4.50.,2012,
178,Giovanni Moreno,26,SH Shenhua,Racing Club,Super League,Torneo Final,4.50.,2012,
179,Fernandinho,26,Al-Jazira,Desp. Brasil,UAE Gulf League,Brazil,4.50.,2012,
180,Bryan Oviedo,22,Everton,FC Copenhagen,Premier League,Superligaen,4.50.,2012,
181,Steven N'Zonzi,23,Stoke City,Blackburn,Premier League,Championship,4.40.,2012,
182,Hanchao Yu,25,DL Yifang,Liaoning FC,Super League,Super League,4.30.,2012,
183,Youssef Msakni,22,Al-Duhail,Esperance,Stars League,Ligue I Pro,4.25.,2012,
184,Nenad Tomovic,25,Fiorentina,Genoa,Serie A,Serie A,4.20.,2012,
185,Luciano Narsingh,21,PSV Eindhoven,Heerenveen,Eredivisie,Eredivisie,4.10.,2012,
186,Lima,29,Benfica,Braga,Liga NOS,Liga NOS,4.00.,2012,
187,Oussama Assaidi,24,Liverpool,Heerenveen,Premier League,Eredivisie,4.00.,2012,
188,Ciro Immobile,22,Genoa,Juventus,Serie A,Serie A,4.00.,2012,
189,Emmanuel Mayuka,21,Southampton,BSC Young Boys,Premier League,Super League,4.00.,2012,
190,Petr Jiracek,26,Hamburger SV,VfL Wolfsburg,1.Bundesliga,1.Bundesliga,4.00.,2012,
191,Delvin N'Dinga,24,Monaco,AJ Auxerre,Ligue 2,Ligue 2,4.00.,2012,
192,Issiar Dia,25,Al-Duhail,Fenerbahce,Stars League,Super Lig,4.00.,2012,
193,Niklas Moisander,26,AFC Ajax,AZ Alkmaar,Eredivisie,Eredivisie,4.00.,2012,
194,Richmond Boakye,19,Juventus,Genoa,Serie A,Serie A,4.00.,2012,
195,Chinedu Obasi,26,FC Schalke 04,TSG Hoffenheim,1.Bundesliga,1.Bundesliga,4.00.,2012,
